Crime,Latitude,Longitude,Year,Neighborhood
DISTURBANCE,-122.3208637,47.61932365,2015,Broadway
WEAPON,-122.3580398,47.62152984,2015,Lower Queen Anne
CAR PROWL,-122.2512749,47.51142125,2015,Rainier Beach
EMBEZZLE,-122.3381467,47.61097516,2015,Central Business District
CAR PROWL,-122.3073365,47.54951875,2015,Mid-Beacon Hill
MAIL THEFT,-122.3500137,47.69918201,2015,Greenwood
TRESPASS,-122.3058151,47.71482192,2015,Victory Heights
THREATS,-122.3088646,47.68304503,2015,Ravenna
OTHER PROPERTY,-122.3341798,47.60172096,2015,Pioneer Square
ASSAULT,-122.3452148,47.61260605,2015,Belltown
CAR PROWL,-122.3906646,47.65320787,2015,Lawton Park
CAR PROWL,-122.2915405,47.60738443,2015,Leschi
THREATS,-122.3026533,47.61530775,2015,Minor
ROBBERY,-122.3567235,47.62327528,2015,Lower Queen Anne
SHOPLIFTING,-122.3134365,47.59665466,2015,International District
BIKE THEFT,-122.3270212,47.59751593,2015,International District
OTHER PROPERTY,-122.3208355,47.71856136,2015,Pinehurst
INJURY,-122.3337307,47.66175686,2015,Wallingford
OTHER PROPERTY,-122.3521398,47.62457135,2015,Lower Queen Anne
PROPERTY DAMAGE,-122.3422401,47.71910534,2015,Haller Lake
WARRANT ARREST,-122.3134365,47.59665466,2015,International District
CAR PROWL,-122.3983095,47.64217289,2015,Southeast Magnolia
OTHER PROPERTY,-122.3788817,47.67418634,2015,Adams
DISTURBANCE,-122.3214456,47.61407093,2015,Broadway
STOLEN PROPERTY,-122.3345243,47.70233163,2015,North College Park
CAR PROWL,-122.3322515,47.60201216,2015,Pioneer Square
OTHER PROPERTY,-122.3531686,47.61730888,2015,Belltown
ROBBERY,-122.2874779,47.5578548,2015,Columbia City
FRAUD,-122.2995866,47.67305804,2015,Ravenna
OTHER PROPERTY,-122.3246521,47.60460902,2015,Yesler Terrace
OTHER PROPERTY,-122.3259701,47.59239098,2015,Industrial District
OTHER PROPERTY,-122.288011,47.56345666,2015,Columbia City
STOLEN PROPERTY,-122.3535471,47.72322886,2015,Bitter Lake
BIKE THEFT,-122.3736058,47.65475596,2015,North Queen Anne
PURSE SNATCH,-122.3338081,47.61210339,2015,Central Business District
THREATS,-122.3207812,47.61407415,2015,First Hill
VEHICLE THEFT,-122.3555389,47.71959911,2015,Bitter Lake
DISORDERLY CONDUCT,-122.3208637,47.61932365,2015,Broadway
THREATS,-122.3620002,47.6927966,2015,Greenwood
PROPERTY DAMAGE,-122.3188647,47.62254938,2015,Broadway
ASSAULT,-122.3224506,47.60170234,2015,Yesler Terrace
BURGLARY,-122.329058,47.5850737,2015,Industrial District
ASSAULT,-122.4039884,47.58063629,2015,Alki
SHOPLIFTING,-122.3131157,47.66218058,2015,University District
BURGLARY-SECURE PARKING-RES,-122.3474204,47.61508492,2015,Belltown
OTHER PROPERTY,-122.317865,47.70938791,2015,Pinehurst
WARRANT ARREST,-122.3460913,47.66212614,2015,Wallingford
TRESPASS,-122.2922808,47.72920111,2015,Olympic Hills
THREATS,-122.2972223,47.66124046,2015,University District
FRAUD,-122.4007211,47.56764101,2015,Alki
FRAUD,-122.3097093,47.70440841,2015,Victory Heights
SHOPLIFTING,-122.3192068,47.70856921,2015,Pinehurst
BURGLARY,-122.3761647,47.64181133,2015,Interbay
FRAUD,-122.2974806,47.61470891,2015,Mann
OTHER PROPERTY,-122.3399095,47.66138572,2015,Wallingford
FRAUD,-122.3826852,47.67995399,2015,Loyal Heights
OTHER PROPERTY,-122.3119516,47.66398823,2015,University District
CAR PROWL,-122.3408186,47.69870121,2015,North College Park
TRESPASS,-122.3348178,47.61236845,2015,Central Business District
WARRANT ARREST,-122.3826208,47.66867629,2015,Adams
STOLEN PROPERTY,-122.3012141,47.59254641,2015,Atlantic
DISTURBANCE,-122.3341798,47.60172096,2015,Pioneer Square
