"(47.66346713, -122.31388208)"
"(47.58006752, -122.31646611)"
"(47.58006862, -122.31627671)"
"(47.59846709, -122.29845569)"
"(47.67329863, -122.3771465)"
"(47.62119559, -122.29833921)"
"(47.72131797, -122.28994832)"
"(47.58761567, -122.30756336)"
"(47.69448898, -122.34274964)"
"(47.68108615, -122.32457695)"
"(47.67427105, -122.37933395)"
"(47.55113218, -122.38137309)"
"(47.62458703, -122.30772895)"
"(47.61704294, -122.34212991)"
"(47.62786811, -122.34681986)"
"(47.66951683, -122.28714121)"
"(47.59334005, -122.30798247)"
"(47.59204634, -122.30165502)"
"(47.67437916, -122.37932107)"
"(47.61377013, -122.30385136)"
"(47.67430996, -122.39138445)"
"(47.66670735, -122.30235375)"
"(47.65305359, -122.3526168)"
"(47.54443589, -122.38833793)"
"(47.59324701, -122.31387601)"
"(47.61438165, -122.32229682)"
"(47.59641996, -122.31089625)"
"(47.60367608, -122.30856696)"
"(47.64311963, -122.37455224)"
"(47.62118988, -122.29807873)"
"(47.61907205, -122.33652543)"
"(47.67403182, -122.38152893)"
"(47.53424442, -122.29267751)"
"(47.56124401, -122.2967675)"
"(47.67402404, -122.38169717)"
"(47.69229096, -122.37576706)"
"(47.70113821, -122.33909906)"
"(47.5878903, -122.30762219)"
"(47.543365, -122.32122065)"
"(47.68051454, -122.34553983)"
"(47.69078418, -122.36482363)"
"(47.73260279, -122.33546247)"
"(47.60039409, -122.30593936)"
"(47.69449967, -122.3429437)"
"(47.67580399, -122.37488219)"
"(47.55009055, -122.3319557)"
"(47.61950525, -122.2970717)"
"(47.65249823, -122.35836485)"
"(47.63717297, -122.36981346)"
"(47.62488719, -122.33470227)"
"(47.64078161, -122.31373014)"
"(47.61939448, -122.297074)"
"(47.60220629, -122.31103284)"
"(47.61951134, -122.33696288)"
"(47.6021575, -122.31128616)"
"(47.59585761, -122.29962455)"
"(47.58742545, -122.30885773)"
"(47.5466116, -122.39546917)"
"(47.65702262, -122.34937751)"
"(47.60884785, -122.32194221)"
"(47.60819513, -122.32283029)"
"(47.51065636, -122.2526827)"
"(47.57035152, -122.2867829)"
"(47.57035529, -122.28695676)"
"(47.57505827, -122.38716986)"
"(47.56362285, -122.38471489)"
"(47.67265466, -122.37853266)"
"(47.57799947, -122.41278506)"
"(47.65334821, -122.3562956)"
"(47.64546598, -122.32664502)"
"(47.65235247, -122.30987523)"
"(47.67570591, -122.38338929)"
"(47.54397096, -122.37560352)"
"(47.58742822, -122.3087001)"
"(47.67580664, -122.38332908)"
"(47.65510935, -122.34294202)"
"(47.56445216, -122.37571113)"
"(47.66986051, -122.379165)"
"(47.59416832, -122.32671951)"
"(47.54711264, -122.37597099)"
"(47.66975734, -122.38000278)"
"(47.59427259, -122.32557966)"
"(47.61137918, -122.34948695)"
"(47.66836292, -122.39247649)"
"(47.62979891, -122.3199643)"
"(47.7324989, -122.34381074)"
"(47.58441019, -122.31299402)"
"(47.68649203, -122.26828501)"
"(47.67430996, -122.39138445)"
"(47.55570373, -122.28643817)"
"(47.69253539, -122.37761064)"
"(47.59639626, -122.29931557)"
"(47.57724135, -122.41654394)"
"(47.67288856, -122.37830804)"
"(47.67292611, -122.38603808)"
"(47.52210056, -122.28007388)"
"(47.61691702, -122.31396272)"
"(47.67401302, -122.38327903)"
"(47.6741176, -122.39135404)"
"(47.62653955, -122.36165907)"
"(47.54962909, -122.36086957)"
"(47.63647431, -122.37406918)"
"(47.58718387, -122.29789488)"
"(47.69430829, -122.34283222)"
"(47.64783172, -122.38362613)"
"(47.64785365, -122.38362923)"
"(47.64798113, -122.38388792)"
"(47.58724823, -122.31509762)"
"(47.61651044, -122.32528011)"
"(47.57045785, -122.28695899)"
"(47.67510615, -122.37919797)"
"(47.67916422, -122.31764267)"
"(47.57371784, -122.30917161)"
"(47.57035529, -122.28695676)"
"(47.61898194, -122.31053404)"
"(47.6190637, -122.31050531)"
"(47.64679911, -122.32391783)"
"(47.64689253, -122.32376885)"
"(47.62327913, -122.33246071)"
"(47.65194973, -122.3691683)"
"(47.65417681, -122.37282307)"
"(47.63703488, -122.36990409)"
"(47.67275108, -122.34743551)"
"(47.64681201, -122.36306207)"
"(47.65417021, -122.373318)"
"(47.67117644, -122.41021913)"
"(47.64698275, -122.36328726)"
"(47.66346713, -122.31388208)"
"(47.64705911, -122.35641639)"
"(47.58974527, -122.31408677)"
"(47.68194063, -122.34643033)"
"(47.59423073, -122.30935472)"
"(47.69172722, -122.34266617)"
"(47.71996695, -122.3122368)"
"(47.63508902, -122.39324472)"
"(47.68187905, -122.28813256)"
"(47.60413073, -122.30482302)"
"(47.58428485, -122.31494538)"
"(47.61682196, -122.30040977)"
"(47.70998802, -122.3174196)"
"(47.51226283, -122.3856033)"
"(47.58199661, -122.38280398)"
"(47.67582594, -122.38349605)"
"(47.53512923, -122.35788333)"
"(47.69076776, -122.330696)"
"(47.61195097, -122.28904095)"
"(47.68991591, -122.37498953)"
"(47.73027752, -122.32972231)"
"(47.57918927, -122.31495687)"
"(47.62652445, -122.36188496)"
"(47.62339887, -122.34192881)"
"(47.68989285, -122.37521107)"
