"(47.5891416, -122.301890691184)"
"(47.6081862, -122.3025461)"
"(47.6100244, -122.3172211)"
"(47.6144145, -122.3179029)"
"(47.6149584, -122.3257242)"
"(47.6127484, -122.3192097)"
"(47.61056225, -122.3163719)"
"(47.6186813, -122.324925092219)"
"(47.6325497, -122.320689412583)"
"(47.613902, -122.3203375)"
"(47.63028375, -122.314199826554)"
"(47.6247086, -122.307185)"
"(47.6138928, -122.3271174)"
"(47.6134869, -122.314443274234)"
"(47.6320524, -122.3127683)"
"(47.6156632, -122.3171739)"
"(47.6157581, -122.321786)"
"(47.6106553, -122.3171103)"
"(47.6148138, -122.3217378)"
"(47.6185686, -122.3172487)"
"(47.613959, -122.319574)"
"(47.612905, -122.314770)"
"(47.6129328, -122.3181106)"
"(47.6151265, -122.3198707)"
"(47.62532335, -122.322040623416)"
"(47.613796, -122.324783)"
"(47.624979, -122.3211541)"
"(47.6219768, -122.3230383)"
"(47.6140917, -122.3191769)"
"(47.6151596, -122.3147172)"
"(47.6229428, -122.322331747171)"
"(47.6162473, -122.3178798)"
"(47.6146657, -122.3196776)"
"(47.613571, -122.319832)"
"(47.6144138, -122.317071)"
"(47.622562, -122.321693)"
"(47.6126561, -122.3191571)"
"(47.5324205, -122.324957600657)"
"(47.627403, -122.347137)"
"(47.614429, -122.317253)"
"(47.51842745, -122.2976981)"
"(47.6136108, -122.3444191)"
"(47.6112287, -122.3444605)"
"(47.6135576, -122.3442489)"
"(47.614211, -122.325396)"
"(47.6122895, -122.3491939)"
"(47.6155804, -122.3428879)"
"(47.6146778, -122.3492477)"
"(47.6113032040816, -122.340846020408)"
"(47.6119449, -122.344463)"
"(47.6141557, -122.3413991)"
"(47.614293, -122.346108)"
"(47.6138182, -122.3448891)"
"(47.614714, -122.3462234)"
"(47.6142042, -122.348419)"
"(47.610493, -122.341634)"
"(47.6139909, -122.3472372)"
"(47.6015999, -122.3332441)"
"(47.58176075, -122.313094422701)"
"(47.5779867, -122.311409476581)"
"(47.5803398, -122.311297826237)"
"(47.53683545, -122.284043789402)"
"(47.611258, -122.315128000189)"
"(47.5681098, -122.2973139)"
"(47.67041, -122.384102)"
"(47.6642404, -122.3810653)"
"(47.6688574, -122.3841041)"
"(47.6698215, -122.384317177678)"
"(47.6776991, -122.3963587)"
"(47.6762165, -122.3638347)"

"(47.6685224, -122.3851065)"
"(47.6682756, -122.3860837)"
"(47.6657095, -122.382800277111)"
"(47.6679185, -122.3838941)"
"(47.6691001, -122.38579091982)"
"(47.6661353, -122.381867447952)"
"(47.6688915, -122.3954081)"
"(47.6689407, -122.3793225)"
"(47.6624817, -122.3655177)"
"(47.6612543, -122.3656412)"
"(47.66541915, -122.382442614838)"
